category;acronym;sub category;description;acronym2;provider;product
internet-of-things;;;Publish APIs to developers, partners, and employees securely and at scale;;azure;API Management
internet-of-things;;;Build or modernize scalable, high-performance apps;;azure;Azure Cosmos DB
internet-of-things;;;Use IoT spatial intelligence to create models of physical environments;;azure;Azure Digital Twins
internet-of-things;;;Build IoT solutions on a hosted platform;;azure;Azure IoT Central
internet-of-things;;;Extend cloud intelligence and analytics to edge devices;;azure;Azure IoT Edge
internet-of-things;;;Connect, monitor, and manage billions of IoT assets;;azure;Azure IoT Hub
internet-of-things;;;An enterprise-grade service for the end-to-end machine learning lifecycle;;azure;Azure Machine Learning
internet-of-things;;;Create location-aware web and mobile applications using simple and secure geospatial services, APIs, and SDKs in Azure;;azure;Azure Maps
internet-of-things;;;Making embedded IoT development and connectivity easy;;azure;Azure RTOS
internet-of-things;;;Securely connect MCU-powered devices from the silicon to the cloud;;azure;Azure Sphere
internet-of-things;;;Consume Services privately on Azure Platform;;azure;Azure SQL Edge
internet-of-things;;;Real-time analytics on fast-moving streaming data;;azure;Azure Stream Analytics
internet-of-things;;;Visualize IoT data in real time;;azure;Azure Time Series Insights
internet-of-things;;;Reliable event delivery at massive scale;;azure;Event Grid
internet-of-things;;;Build for mixed reality using AI sensors;;azure;Kinect DK
internet-of-things;;;Automate the access and use of data across clouds;;azure;Logic Apps
internet-of-things;;;Send push notifications to any platform from any back end;;azure;Notification Hubs
internet-of-things;;;Long-term OS support and services to manage device updates and assess device health;;azure;Windows 10 IoT Core Services
internet-of-things;;;Continuous asset discovery, vulnerability management, and threat detection for your Internet-of-things (IoT) and operational technology (OT) devices;;azure;Microsoft Defender for IoT
internet-of-things;;;Accelerate edge intelligence from silicon to service;;azure;Azure Percept�PREVIEW
internet-of-things;;;Build intelligent edge solutions with world-class developer tools, long-term support, and enterprise-grade security.;;azure;Windows for IoT
internet-of-things;;;Execute event-driven serverless code with an end-to-end development experience;;azure;Azure Functions
management-and-governance;;;monitoring, logs and alerts;;aws;Amazon CloudWatch
management-and-governance;;;auto scaling;;aws;AWS Auto scaling
management-and-governance;;;auto scaling;;aws;AWS Application Auto Scaling
management-and-governance;;;asset audit and evaluate resources;;aws;AWS Config
management-and-governance;;;software license manager;;aws;AWS License Manager
management-and-governance;;;cloud resources events and changes management;;aws;AWS Health Dashboard
management-and-governance;;;governance, compliance and audit of account;;aws;AWS CloudTrail
management-and-governance;;;share, organize, and govern IaC templates;;aws;AWS Service Catalog
management-and-governance;;;control of infrastructure resources;;aws;AWS Systems Manager
management-and-governance;;;infrastructure inspection for finance, availability and performance recommendations;;aws;AWS Trusted Advisor
management-and-governance;;;cloud architecture audit;;aws;AWS Well-Architected Tool
management-and-governance;;;setup of cloud multi account environment (landing zone);;aws;AWS Control Tower
management-and-governance;;;organization and account management;;aws;AWS Organizations
management-and-governance;;;centralized management of configuration data;;aws;AWS AppConfig
management-and-governance;;;chatbot;;aws;AWS chatbot
management-and-governance;;;backup and restore;;aws;AWS Blackint Agent
management-and-governance;;;data visualization;;aws;AWS Managed Grafana
management-and-governance;;;monitoring;;opensource;prometheus
management-and-governance;;;telemetry data;;opensource;OpenTelemetry
management-and-governance;;;deployment workflow tool;;aws;AWS Proton
management-and-governance;;;configuring and deploying third party application;;aws;AWS Launch Wizard
management-and-governance;;;it service management;ITSM;aws;AWS Service Management Connector (SMC)
management-and-governance;;;telecom network build;;aws;AWS Telco Network Builder
management-and-governance;;;workload rightsizing;;aws;AWS Compute Optimizer
management-and-governance;;;console;;aws;AWS console Application
management-and-governance;;;console;;aws;AWS Console Mobile Application
management-and-governance;;;Simplify cloud management with process automation;;azure;Automation
management-and-governance;;;Your personalized Azure best practices recommendation engine;;azure;Azure Advisor
management-and-governance;;;Simplify data protection with built-in backup management at scale;;azure;Azure Backup
management-and-governance;;;Enabling quick, repeatable creation of governed environments;;azure;Azure Blueprints�PREVIEW
management-and-governance;;;Empowering service providers to manage customers at scale and with precision;;azure;Azure Lighthouse
management-and-governance;;;Simplify management of cloud offerings;;azure;Azure Managed Applications
management-and-governance;;;Discover, assess, right-size, and migrate your on-premises virtual machines (VMs) to Azure;;azure;Azure Migrate
management-and-governance;;;Stay connected to your Azure resources�anytime, anywhere;;azure;Azure mobile app
management-and-governance;;;Full observability into your applications, infrastructure, and network;;azure;Azure Monitor
management-and-governance;;;Implement corporate governance and standards at scale;;azure;Azure Policy
management-and-governance;;;Simplify how you manage your app resources;;azure;Azure Resource Manager
management-and-governance;;;Deliver infrastructure as code for all your Azure resources using Resource Manager;;azure;Azure Resource Manager templates
management-and-governance;;;Personalized guidance and support for when issues in Azure services affect you;;azure;Azure Service Health
management-and-governance;;;Keep your business running with built-in disaster recovery service;;azure;Azure Site Recovery
management-and-governance;;;Streamline Azure administration with a browser-based shell;;azure;Cloud Shell
management-and-governance;;;Manage your cloud spending with confidence;;azure;Azure Cost Management and Billing
management-and-governance;;;Build, manage, and monitor all Azure products in a single, unified console;;azure;Microsoft Azure portal
management-and-governance;;;Network performance monitoring and diagnostics solution;;azure;Network Watcher
management-and-governance;;;Route incoming traffic for high performance and availability;;azure;Traffic Manager
management-and-governance;;;Simplify and optimize IT management with automated operations;;azure;Azure Automanage�PREVIEW
management-and-governance;;;Simplify how you move multiple resources between Azure regions;;azure;Azure Resource Mover
management-and-governance;;;A unified data governance solution that maximizes the business value of your data;;azure;Azure Purview
management-and-governance;;;Improve application resilience by introducing faults and simulating outages;;azure;Azure Chaos Studio�PREVIEW
media-services;;;video transcoder;;aws;Amazon Elastic Transcoder
media-services;;;video transcoder;;aws;AWS Elemental Video Convert
media-services;;;video transcoder;;aws;AWS Elemental MediaConvert
media-services;;;video transport;;aws;AWS Elemental MediaConnect
media-services;;;broadcast live video processing;;aws;AWS Elemental MediaLive
media-services;;;broadcast live video processing;;aws;AWS Elemental Conductor
media-services;;;broadcast live video processing;;aws;AWS Elemental Delta
media-services;;;broadcast live video processing;;aws;AWS Elemental Live
media-services;;;broadcast live video processing;;aws;AWS Elemental Server
media-services;;;package, distribute video;;aws;AWS Elemental MediaPackage
media-services;;;video storage;;aws;AWS Elemental MediaStore
media-services;;;video ad insertion;;aws;AWS Elemental MediaTailor
media-services;;;video processing and delivery;;aws;AWS Elemental Appliances & Software
media-services;;;video live streaming low latency;;aws;AWS Interactive Video service
media-services;;;video source connection;;aws;AWS Elemental Link
media-services;;;process and render particles;;aws;AWS Thinkbox Krakatoa
media-services;;;process and render particles;;aws;AWS Thinkbox Frost
media-services;;;compute management software for render farms;;aws;AWS Thinkbox Deadline
media-services;;;compute management software for render farms;;aws;AWS Deadline Cloud
media-services;;;compressed animated geometry files;;aws;AWS Thinkbox XMesh
media-services;;;particle simulator;;aws;AWS Thinkbox Stoke
media-services;;;A single player for all your playback needs;;azure;Azure Media Player
media-services;;;Fast, reliable content delivery network with global reach;;azure;Content Delivery Network
media-services;;;Securely deliver content using AES, PlayReady, Widevine, and Fairplay;;azure;Content Protection
media-services;;;Studio grade encoding at cloud scale;;azure;Encoding
media-services;;;Deliver content to virtually all devices with ability to scale;;azure;Live and On-Demand Streaming
media-services;;;Encode, store, and stream video and audio at scale;;azure;Media Services
migration-and-modernization;;;collects usage, behavior, and configuration data;;aws;AWS Application Discovery Service
migration-and-modernization;;;secure file transfer;;aws;AWS Transfer Family
migration-and-modernization;;;data synchronization;;aws;AWS DataSync
migration-and-modernization;;;migration and modernization;;aws;AWS Migration Hub
migration-and-modernization;;;migration and modernization;;aws;AWS Application Migration Service
migration-and-modernization;;;migration and modernization;;aws;AWS Migration Evaluator
migration-and-modernization;;;migration and modernization;;aws;AWS Mainframe Modernization
migration-and-modernization;;;Simplify on-premises database migration to the cloud;;azure;Azure Database Migration Service
migration-and-modernization;;;Discover, assess, right-size, and migrate your on-premises virtual machines (VMs) to Azure;;azure;Azure Migrate
migration-and-modernization;;;Keep your business running with built-in disaster recovery service;;azure;Azure Site Recovery
migration-and-modernization;;;Manage your cloud spending with confidence;;azure;Azure Cost Management and Billing
migration-and-modernization;;;Appliances and solutions for data transfer to Azure and edge compute;;azure;Data Box
mixed-reality;;;Use IoT spatial intelligence to create models of physical environments;;azure;Azure Digital Twins
mixed-reality;;;Build for mixed reality using AI sensors;;azure;Kinect DK
mixed-reality;;;Render high-quality, interactive 3D content with real-time streaming;;azure;Remote Rendering
mixed-reality;;;Create multi-user, spatially aware mixed reality experiences;;azure;Spatial Anchors
mixed-reality;;;Automatically align and anchor 3D content to objects in the physical world;;azure;Object Anchors�PREVIEW
mobile;;;Publish APIs to developers, partners, and employees securely and at scale;;azure;API Management
mobile;;;Fast, scalable parameter storage for app configuration;;azure;App Configuration
mobile;;;Quickly create powerful cloud apps for web and mobile;;azure;App Service
mobile;;;Enterprise scale search for app development;;azure;Azure Cognitive Search
mobile;;;Create location-aware web and mobile applications using simple and secure geospatial services, APIs, and SDKs in Azure;;azure;Azure Maps
mobile;;;Add cognitive capabilities to apps with APIs and AI services;;azure;Azure Cognitive Services
mobile;;;Send push notifications to any platform from any back end;;azure;Notification Hubs
mobile;;;Create multi-user, spatially aware mixed reality experiences;;azure;Spatial Anchors
mobile;;;Build, test, release, and monitor your mobile and desktop apps;;azure;Visual Studio App Center
mobile;;;Create cloud-powered mobile apps faster;;azure;Xamarin
mobile;;;Build rich communication experiences with the same secure platform used by Microsoft Teams;;azure;Azure Communication Services
networking-and-content-delivery;;;virtual network connection;;aws;AWS Transit Gateway
networking-and-content-delivery;;;content delivery network;CDN;aws;Amazon Cloud Front
networking-and-content-delivery;;;Domain Name Server;DNS;aws;Amazon Route 53
networking-and-content-delivery;;;virtual network;;aws;Amazon Virtual Private Cloud (VPC)
networking-and-content-delivery;;;application level networking;;aws;AWS App Mesh
networking-and-content-delivery;;;cloud resource discovery;;aws;AWS Cloud Map
networking-and-content-delivery;;;network connection;;aws;AWS Direct Connect
networking-and-content-delivery;;;network performance;;aws;AWS Global Accelerator
networking-and-content-delivery;;;virtual private network;VPN;aws;AWS Client VPN
networking-and-content-delivery;;;virtual private network;VPN;aws;AWS Site-to-Site VPN
networking-and-content-delivery;;;load balancer;;aws;Application Load Balancer
networking-and-content-delivery;;;load balancer;;aws;Network Load Balancer
networking-and-content-delivery;;;load balancer;;aws;Gateway Load Balancer
networking-and-content-delivery;;;private link;;aws;AWS PrivateLink
networking-and-content-delivery;;;wide area network;WAN;aws;AWS Cloud WAN
networking-and-content-delivery;;;cellular network;;aws;AWS Private 5G
networking-and-content-delivery;;;network traffic management;;aws;AWS VPC Lattice
networking-and-content-delivery;;;secure access to corporate applications;;aws;AWS Verified Access
networking-and-content-delivery;;;api gateway;;aws;Amazon API Gateway
networking-and-content-delivery;;;Build secure, scalable, highly available web front ends in Azure;;azure;Application Gateway
networking-and-content-delivery;;;Private and fully managed RDP and SSH access to your virtual machines;;azure;Azure Bastion
networking-and-content-delivery;;;Protect your applications from Distributed Denial of Service (DDoS) attacks;;azure;Azure DDoS Protection
networking-and-content-delivery;;;Host your DNS domain in Azure;;azure;Azure DNS
networking-and-content-delivery;;;Experience a fast, reliable, and private connection to Azure;;azure;Azure ExpressRoute
networking-and-content-delivery;;;Cloud-native and intelligent network firewall security;;azure;Azure Firewall
networking-and-content-delivery;;;Deliver high availability and network performance to your apps;;azure;Load Balancer
networking-and-content-delivery;;;Central network security policy and route management for globally distributed, software-defined perimeters;;azure;Azure Firewall Manager
networking-and-content-delivery;;;Fast, reliable, and more secure cloud content delivery service with intelligent threat protection;;azure;Azure Front Door
networking-and-content-delivery;;;Test how networking infrastructure changes will impact your customers' performance.;;azure;Azure Internet Analyzer�PREVIEW
networking-and-content-delivery;;;Private access to services hosted on the Azure platform, keeping your data on the Microsoft network;;azure;Azure Private Link
networking-and-content-delivery;;;Fast, reliable content delivery network with global reach;;azure;Content Delivery Network
networking-and-content-delivery;;;Network performance monitoring and diagnostics solution;;azure;Network Watcher
networking-and-content-delivery;;;Route incoming traffic for high performance and availability;;azure;Traffic Manager
networking-and-content-delivery;;;Provision private networks, optionally connect to on-premises datacenters;;azure;Virtual Network
networking-and-content-delivery;;;Optimize and automate branch to branch connectivity through Azure;;azure;Virtual WAN
networking-and-content-delivery;;;Establish secure, cross-premises connectivity;;azure;VPN Gateway
networking-and-content-delivery;;;A cloud-native web application firewall (WAF) service that provides powerful protection for web apps;;azure;Web Application Firewall
networking-and-content-delivery;;;Satellite ground station and scheduling services for fast downlinking of data;;azure;Azure Orbital�PREVIEW
networking-and-content-delivery;;;Enable network appliances to exchange routes dynamically with virtual networks in Azure;;azure;Azure Route Server
networking-and-content-delivery;;;Extend Azure management for deploying 5G and SD-WAN network functions on edge devices;;azure;Azure Network Function Manager
networking-and-content-delivery;;;Centrally manage virtual networks in Azure from a single pane of glass;;azure;Azure Virtual Network Manager�PREVIEW
networking-and-content-delivery;;;Rapidly deploy and manage private 5G networks at the enterprise edge;;azure;Azure Private 5G Core�PREVIEW
quantum-technologies;;;quantum computing;;aws;Amazon Bracket
robotics;;;simulation workload;;aws;AWS RoboMaker
satellite;;;satellite communication;;aws;AWS Ground Station
security-and-compliance;;;hierarchical datastore;;aws;Amazon Cloud directory
security-and-compliance;;;identity platform for web and mobile application;;aws;Amazon Cognito
security-and-compliance;;;data, account and workload protection;;aws;Amazon GuardDuty
security-and-compliance;;;vulnerability scan management;;aws;Amazon Inspector
security-and-compliance;;;sensitive data reporting;;aws;Amazon Macie
security-and-compliance;;;compliance information access;;aws;AWS Artifact
security-and-compliance;;;public and private certificates management;;aws;AWS Certificate Manager (ACMà
security-and-compliance;;;cryptographic service for hardware security modules (HSMs);;aws;AWS CloudHSM
security-and-compliance;;;active directory;;aws;AWS Directory Service
security-and-compliance;;;active directory;;azure;Active Directory
security-and-compliance;;;active directory;;microsoft;Active Directory
security-and-compliance;;;resource protection management;;aws;AWS Firewall Manager
security-and-compliance;;;identity and access management;;aws;AWS Identity and Access Management (IAM)
security-and-compliance;;;cryptographic keys management;;aws;AWS Key management Service (AWS KMS
security-and-compliance;;;secret management;;aws;AWS Secret Manager
security-and-compliance;;;cloud security posture management;CSPM;aws;AWS Security Hub
security-and-compliance;;;ddos protection;;aws;AWS Shield
security-and-compliance;;;firewall;;aws;AWS WAF
security-and-compliance;;;security data analysis;;aws;Amazon Detective
security-and-compliance;;;resources sharing;;aws;AWS Resource Access Manager
security-and-compliance;;;risk and compliance audit;;aws;AWS Audit Manager
security-and-compliance;;;firewall rules;;aws;AWS Network Firewall
security-and-compliance;;;code signing;;aws;AWS Signer
security-and-compliance;;;private certificate authority;CA;aws;
security-and-compliance;;;authorization service;;aws;Amazon Verified Permissions
security-and-compliance;;;security data centralization;;aws;Amazon Security Lake
security-and-compliance;;;payment processing;;aws;AWS Payment Cryptography
security-and-compliance;;;Fast, scalable parameter storage for app configuration;;azure;App Configuration
security-and-compliance;;;Build secure, scalable, highly available web front ends in Azure;;azure;Application Gateway
security-and-compliance;;;Synchronize on-premises directories and enable single sign-on;;azure;Azure Active Directory (Azure AD)
security-and-compliance;;;Manage your domain controllers in the cloud;;azure;Azure Active Directory Domain Services
security-and-compliance;;;Protect your multi-cloud and hybrid environments;;azure;Microsoft Defender for Cloud
security-and-compliance;;;Protect your applications from Distributed Denial of Service (DDoS) attacks;;azure;Azure DDoS Protection
security-and-compliance;;;Manage hardware security modules that you use in the cloud;;azure;Azure Dedicated HSM
security-and-compliance;;;Fast, reliable, and more secure cloud content delivery service with intelligent threat protection;;azure;Azure Front Door
security-and-compliance;;;Better protect your sensitive information�anytime, anywhere;;azure;Azure Information Protection
security-and-compliance;;;Cloud-native SIEM and intelligent security analytics;;azure;Microsoft Sentinel
security-and-compliance;;;Safeguard and maintain control of keys and other secrets;;azure;Key Vault
security-and-compliance;;;Extend threat protection to any infrastructure;;azure;Microsoft Defender for Cloud
security-and-compliance;;;Establish secure, cross-premises connectivity;;azure;VPN Gateway
security-and-compliance;;;A cloud-native web application firewall (WAF) service that provides powerful protection for web apps;;azure;Web Application Firewall
security-and-compliance;;;Continuous asset discovery, vulnerability management, and threat detection for your Internet-of-things (IoT) and operational technology (OT) devices;;azure;Microsoft Defender for IoT
security-and-compliance;;;A unified solution for remotely verifying the trustworthiness of a platform and integrity of the binaries running inside it;;azure;Microsoft Azure Attestation
security-and-compliance;;;Tamperproof, unstructured data store hosted in trusted execution environments (TEEs) and backed by cryptographically verifiable evidence;;azure;Azure confidential ledger�PREVIEW
storage;;;attached network storage;;aws;Amazon Elastic Block Store (EBS)
storage;;;cloud storage connection;;aws;AWS Storage Gateway
storage;;;file system;;aws;Amazon Elastic File System (EFS)
storage;;;disaster recovery;;aws;AWS Elastic Disaster Recovery (DRS)
storage;;;file server;;aws;Amazon FSx
storage;;;edge computing;;aws;Amazon Snowball Edge
storage;;;edge computing;;aws;AWS Snowcone
storage;;;backup;;aws;AWS Backup
storage;;;simple storage;;aws;Amazon Simple Storage service (S3)
storage;;;cache storage;;aws;Amazon File Cache
storage;;;Industry leading price point for storing rarely accessed data;;azure;Archive Storage
storage;;;Run high-performance, file-based workloads in the cloud;;azure;Avere vFXT for Azure
storage;;;Simplify data protection with built-in backup management at scale;;azure;Azure Backup
storage;;;Scalable, secure data lake for high-performance analytics;;azure;Azure Data Lake Storage
storage;;;Hyperscale repository for big data analytics workloads;;azure;Azure Data Lake Storage Gen1
storage;;;A simple and safe service for sharing big data with external organizations;;azure;Azure Data Share
storage;;;Simple, secure and serverless enterprise-grade cloud file shares;;azure;Azure Files
storage;;;Hybrid storage optimization solution for HPC environments;;azure;Azure FXT Edge Filer
storage;;;File caching for high-performance computing (HPC);;azure;Azure HPC Cache
storage;;;Enterprise-grade Azure file shares, powered by NetApp;;azure;Azure NetApp Files
storage;;;Massively scalable and secure object storage;;azure;Azure Blob Storage
storage;;;Appliances and solutions for data transfer to Azure and edge compute;;azure;Data Box
storage;;;High-performance, highly durable block storage;;azure;Azure Disk Storage
storage;;;Effectively scale apps according to traffic;;azure;Queue Storage
storage;;;Durable, highly available, and massively scalable cloud storage;;azure;Storage Accounts
storage;;;View and interact with Azure storage resources;;azure;Storage Explorer
storage;;;Lower costs with an enterprise hybrid cloud storage solution;;azure;StorSimple
storage;;;Tamperproof, unstructured data store hosted in trusted execution environments (TEEs) and backed by cryptographically verifiable evidence;;azure;Azure confidential ledger�PREVIEW
virtual-desktop-infrastructure;;;Enable a secure, remote desktop experience from anywhere;;azure;Azure Virtual Desktop
virtual-desktop-infrastructure;;;Provision Windows desktops and apps with VMware and Azure Virtual Desktop;;azure;VMware Horizon Cloud on Microsoft Azure
virtual-desktop-infrastructure;;;Provision Windows desktops and apps on Azure with Citrix and Azure Virtual Desktop;;azure;Citrix Virtual Apps and Desktops for Azure
web;;;Publish APIs to developers, partners, and employees securely and at scale;;azure;API Management
web;;;Fast, scalable parameter storage for app configuration;;azure;App Configuration
web;;;Quickly create powerful cloud apps for web and mobile;;azure;App Service
web;;;Enterprise scale search for app development;;azure;Azure Cognitive Search
web;;;Create location-aware web and mobile applications using simple and secure geospatial services, APIs, and SDKs in Azure;;azure;Azure Maps
web;;;Add real-time web functionalities easily;;azure;Azure SignalR Service
web;;;Build and deploy Spring Boot apps with a fully managed service from Microsoft and VMware;;azure;Azure Spring Cloud
web;;;Fast, reliable content delivery network with global reach;;azure;Content Delivery Network
web;;;Send push notifications to any platform from any back end;;azure;Notification Hubs
web;;;Streamlined full-stack development from source code to global high availability;;azure;Static Web Apps
web;;;Build rich communication experiences with the same secure platform used by Microsoft Teams;;azure;Azure Communication Services
web;;;Easily build real-time messaging web applications using WebSockets and the publish-subscribe pattern;;azure;Azure Web PubSub
web;;;Easily add real-time collaborative experiences to your apps with Fluid Framework;;azure;Azure Fluid Relay�PREVIEW
web;;;Run containerized web apps on Windows and Linux;;azure;Web App for containers
